aX,aY,aZ,gX,gY,gZ
-0.134,0.046,1.088,26.367,-66.895,15.686
-0.237,-0.051,1.131,36.682,-69.946,15.625
-0.271,-0.088,1.167,43.213,-70.557,5.859
-0.276,-0.058,1.182,43.701,-66.833,-2.930
-0.209,-0.047,1.189,40.283,-60.791,-6.409
-0.198,-0.020,1.170,35.461,-57.190,-3.784
-0.207,0.026,1.157,30.457,-52.979,1.587
-0.220,0.017,1.140,25.208,-48.401,3.296
-0.233,-0.075,1.086,23.315,-42.725,3.418
-0.257,-0.087,1.137,26.917,-40.466,7.202
-0.272,-0.029,1.123,28.503,-44.495,10.010
-0.155,0.076,1.093,17.029,-48.523,11.292
-0.078,0.197,1.074,8.972,-49.377,6.470
0.092,0.202,1.029,9.338,-48.096,3.113
0.035,0.128,0.953,4.944,-45.044,-7.141
-0.118,0.029,0.860,10.193,-48.096,-23.193
-0.139,-0.040,1.010,36.621,-47.913,-38.635
-0.210,0.014,0.980,34.058,-46.570,-58.838
-0.255,0.039,1.039,30.579,-34.851,-69.336
-0.209,0.038,1.106,25.146,-19.714,-65.857
-0.328,-0.050,0.958,13.245,-12.146,-61.340
-0.361,-0.134,1.001,21.729,-10.437,-44.006
-0.328,-0.091,1.068,28.076,-8.972,-33.630
-0.208,-0.039,1.061,23.682,-3.845,-30.273
-0.103,-0.022,1.005,15.808,4.883,-26.855
-0.047,-0.027,0.959,7.751,16.113,-27.039
-0.027,-0.046,0.894,-0.183,30.640,-32.349
-0.002,-0.066,0.842,-7.935,50.598,-41.748
0.053,-0.063,0.803,-15.991,72.144,-54.565
0.106,-0.038,0.751,-24.353,92.102,-66.040
0.129,-0.041,0.715,-31.128,109.253,-73.242
0.111,-0.040,0.711,-36.560,121.582,-77.881
0.095,0.005,0.770,-45.166,129.883,-80.017
0.098,0.022,0.834,-58.655,132.385,-77.209
0.031,0.086,0.807,-72.876,124.573,-67.871
-0.122,0.116,0.714,-74.036,108.093,-60.425
-0.146,0.099,0.717,-63.904,98.694,-57.983
-0.120,0.080,0.716,-49.561,88.562,-56.091
-0.105,0.108,0.729,-35.767,71.655,-47.424
-0.094,0.135,0.714,-25.940,54.749,-32.471
-0.048,0.151,0.697,-19.958,44.617,-15.869
-0.012,0.131,0.682,-14.282,38.635,-4.089
-0.036,0.081,0.672,-6.897,33.386,2.563
-0.034,0.079,0.675,3.479,30.457,6.775
-0.038,0.050,0.739,18.616,26.062,12.329
-0.105,0.054,0.805,32.288,18.250,20.081
-0.188,0.026,0.878,41.321,12.268,31.067
-0.239,-0.016,0.930,46.814,6.470,39.490
-0.275,-0.063,0.954,48.828,0.244,44.739
-0.307,-0.111,0.964,47.974,-3.418,45.898
-0.297,-0.146,0.977,47.424,-3.601,41.382
-0.262,-0.161,0.999,47.729,-2.136,33.936
-0.223,-0.137,1.021,48.279,0.305,24.841
-0.189,-0.102,1.051,49.011,2.991,15.808
-0.181,-0.079,1.078,51.392,3.174,9.277
-0.210,-0.080,1.102,55.908,-0.061,6.958
-0.249,-0.078,1.157,60.486,-3.906,7.263
