aX,aY,aZ,gX,gY,gZ
-0.238,0.031,0.955,2.502,-3.540,3.479
-0.236,0.030,0.956,2.625,-3.601,3.479
-0.234,0.025,0.953,2.930,-3.601,3.540
-0.230,0.023,0.953,2.869,-3.723,3.479
-0.229,0.021,0.953,2.686,-3.723,3.418
-0.220,0.016,0.953,2.563,-3.357,3.357
-0.222,0.016,0.952,2.563,-3.174,3.113
-0.225,0.018,0.951,2.258,-3.845,3.235
-0.227,0.019,0.951,2.380,-3.784,3.235
-0.224,0.020,0.951,2.380,-3.357,3.235
-0.224,0.021,0.952,2.014,-3.235,3.174
-0.224,0.024,0.951,2.075,-3.296,3.052
-0.226,0.024,0.950,2.075,-3.479,3.113
-0.227,0.024,0.953,1.953,-3.479,3.235
-0.226,0.023,0.955,2.136,-3.357,3.296
-0.225,0.023,0.956,2.075,-3.296,3.113
-0.223,0.024,0.954,2.197,-3.296,3.113
-0.226,0.025,0.955,2.258,-3.296,3.174
-0.229,0.025,0.954,2.197,-3.357,3.296
-0.229,0.025,0.955,2.319,-3.662,3.296
-0.231,0.026,0.954,2.258,-3.723,3.235
-0.229,0.023,0.952,2.197,-3.479,3.052
-0.228,0.024,0.953,2.380,-3.479,3.296
-0.228,0.025,0.954,2.197,-3.235,3.113
-0.229,0.025,0.954,2.258,-3.235,3.113
-0.227,0.023,0.954,2.014,-3.418,3.296
-0.229,0.024,0.954,2.075,-3.418,3.235
-0.227,0.025,0.953,2.136,-3.296,3.174
-0.227,0.024,0.953,2.258,-3.174,3.296
-0.227,0.025,0.954,2.014,-3.296,3.235
-0.230,0.025,0.955,2.075,-3.357,3.174
-0.229,0.026,0.955,2.014,-3.418,3.052
-0.230,0.025,0.953,1.953,-3.418,3.174
-0.230,0.026,0.953,2.136,-3.357,3.235
-0.230,0.023,0.955,2.258,-3.540,3.235
-0.228,0.023,0.955,2.319,-3.479,3.235
-0.229,0.023,0.953,2.319,-3.418,3.296
-0.228,0.022,0.952,2.197,-3.479,3.296
